Level,Name,Branch,Division,Group,Qty,Total Amount
Group,PLAT DU JOUR,Stories Ain El Mreisseh,PLAT DE JOUR,PLAT DU JOUR,130,81981.98
Division,PLAT DE JOUR,Stories Ain El Mreisseh,PLAT DE JOUR,PLAT DU JOUR,130,81981.98
Group,SUB SANDWICHES,Stories Ain El Mreisseh,SANDWICHES,SUB SANDWICHES,16647,4431053.16
Division,SANDWICHES,Stories Ain El Mreisseh,SANDWICHES,SUB SANDWICHES,16647,4431053.16
Group,CINNAMONS,Stories Ain El Mreisseh,CINNAMON ROLLS,CINNAMONS,17375,5465425.25
Division,CINNAMON ROLLS,Stories Ain El Mreisseh,CINNAMON ROLLS,CINNAMONS,17375,5465425.25
Group,PACKAGING,Stories Ain El Mreisseh,CARTON,PACKAGING,127,0
Division,CARTON,Stories Ain El Mreisseh,CARTON,PACKAGING,127,0
Group,NOT USED,Stories Ain El Mreisseh,NOT USED,NOT USED,7291.25,1646440.54
Division,NOT USED,Stories Ain El Mreisseh,NOT USED,NOT USED,7291.25,1646440.54
Group,ADD ONS,Stories Ain El Mreisseh,SUBS,ADD ONS,1872,207218.02
Division,SUBS,Stories Ain El Mreisseh,SUBS,ADD ONS,1872,207218.02
Group,POP UP BEVERAGE,Stories Ain El Mreisseh,POP UP BEVERAGE,POP UP BEVERAGE,0,0
Division,POP UP BEVERAGE,Stories Ain El Mreisseh,POP UP BEVERAGE,POP UP BEVERAGE,0,0
Group,OFFER,Stories Ain El Mreisseh,OFFER,OFFER,0,0
Division,OFFER,Stories Ain El Mreisseh,OFFER,OFFER,0,0
Group,PACKAGED FOOD,Stories Ain El Mreisseh,GRAB&GO FOOD,PACKAGED FOOD,4191,575617.42
Group,SALADS,Stories Ain El Mreisseh,GRAB&GO FOOD,SALADS,1326,606138.74
Group,FRUITS,Stories Ain El Mreisseh,GRAB&GO FOOD,FRUITS,1074,329289.19
Group,PACKAGED DESSERT,Stories Ain El Mreisseh,GRAB&GO FOOD,PACKAGED DESSERT,440,159081.08
Division,GRAB&GO FOOD,Stories Ain El Mreisseh,GRAB&GO FOOD,PACKAGED DESSERT,7031,1670126.42
Group,DONUTS,Stories Ain El Mreisseh,DONUTS,DONUTS,2534,506800
Division,DONUTS,Stories Ain El Mreisseh,DONUTS,DONUTS,2534,506800
Group,HEALTHY SECTION,Stories Ain El Mreisseh,HEALTHY SECTION,HEALTHY SECTION,0,0
Division,HEALTHY SECTION,Stories Ain El Mreisseh,HEALTHY SECTION,HEALTHY SECTION,0,0
Branch,Stories Ain El Mreisseh,Stories Ain El Mreisseh,HEALTHY SECTION,HEALTHY SECTION,814163.55,110793364.4
